originregion_id,originregion_name,destinationregion_id,destinationregion_name,regionflow_1990,regionflow_1995,regionflow_2000,regionflow_2005,xxx,origin_iso,origin_name,destination_iso,destination_name,countryflow_1990,countryflow_1995,countryflow_2000,countryflow_2005,origin_show,destination_show
1,North America,8,South-East Asia,10439,64871,91449,41758,,USA,United States,MYS,Malaysia,22,171,393,0,1,1
1,North America,8,South-East Asia,10439,64871,91449,41758,,USA,United States,PHL,Philippines,8246,322,835,1251,1,1
1,North America,8,South-East Asia,10439,64871,91449,41758,,USA,United States,SGP,Singapore,554,2,2293,5669,1,1
1,North America,8,South-East Asia,10439,64871,91449,41758,,USA,United States,THA,Thailand,4,37394,82180,32327,1,1
1,North America,8,South-East Asia,10439,64871,91449,41758,,USA,United States,TLS,Timor-Leste,156,0,0,0,1,0
1,North America,8,South-East Asia,10439,64871,91449,41758,,USA,United States,VNM,Vietnam,567,97,370,531,1,1
1,North America,9,Oceania,37118,5149,30115,52303,,CAN,Canada,AUS,Australia,3780,3161,1368,2403,1,1
1,North America,9,Oceania,37118,5149,30115,52303,,CAN,Canada,FJI,Fiji,0,0,0,0,1,0
1,North America,9,Oceania,37118,5149,30115,52303,,CAN,Canada,FSM,Micronesia,0,0,0,0,1,0
1,North America,9,Oceania,37118,5149,30115,52303,,CAN,Canada,GUM,Guam,0,0,0,0,1,0
1,North America,9,Oceania,37118,5149,30115,52303,,CAN,Canada,NCL,New Caledonia,0,0,1,0,1,0
1,North America,9,Oceania,37118,5149,30115,52303,,CAN,Canada,NZL,New Zealand,1715,1493,416,389,1,1
1,North America,9,Oceania,37118,5149,30115,52303,,CAN,Canada,PNG,Papua New Guinea,0,0,0,0,1,0
1,North America,9,Oceania,37118,5149,30115,52303,,CAN,Canada,PYF,French Polynesia,8,9,3,0,1,0
1,North America,9,Oceania,37118,5149,30115,52303,,CAN,Canada,SLB,Solomon Islands,0,0,0,0,1,0
1,North America,9,Oceania,37118,5149,30115,52303,,CAN,Canada,TON,Tonga,0,0,0,0,1,0
1,North America,9,Oceania,37118,5149,30115,52303,,CAN,Canada,VUT,Vanuatu,0,0,0,0,1,0
1,North America,9,Oceania,37118,5149,30115,52303,,CAN,Canada,WSM,Samoa,0,1,0,0,1,0
1,North America,9,Oceania,37118,5149,30115,52303,,USA,United States,AUS,Australia,22617,257,19184,39044,1,1
1,North America,9,Oceania,37118,5149,30115,52303,,USA,United States,FJI,Fiji,2,0,0,3,1,0
1,North America,9,Oceania,37118,5149,30115,52303,,USA,United States,FSM,Micronesia,84,0,0,0,1,0
1,North America,9,Oceania,37118,5149,30115,52303,,USA,United States,GUM,Guam,0,0,0,0,1,0
1,North America,9,Oceania,37118,5149,30115,52303,,USA,United States,NCL,New Caledonia,48,0,1272,648,1,0
1,North America,9,Oceania,37118,5149,30115,52303,,USA,United States,NZL,New Zealand,8560,224,7775,9709,1,1
1,North America,9,Oceania,37118,5149,30115,52303,,USA,United States,PNG,Papua New Guinea,122,0,0,38,1,0
1,North America,9,Oceania,37118,5149,30115,52303,,USA,United States,PYF,French Polynesia,73,0,63,41,1,0
1,North America,9,Oceania,37118,5149,30115,52303,,USA,United States,SLB,Solomon Islands,0,0,0,8,1,0
1,North America,9,Oceania,37118,5149,30115,52303,,USA,United States,TON,Tonga,0,0,1,4,1,0
1,North America,9,Oceania,37118,5149,30115,52303,,USA,United States,VUT,Vanuatu,0,0,32,16,1,0
1,North America,9,Oceania,37118,5149,30115,52303,,USA,United States,WSM,Samoa,109,4,0,0,1,0
5,West Asia,1,North America,159146,768199,148889,169274,,ARE,United Arab Emirates,CAN,Canada,3692,6277,9936,15701,1,1
5,West Asia,1,North America,159146,768199,148889,169274,,ARE,United Arab Emirates,USA,United States,3699,8277,7756,11196,1,1
5,West Asia,1,North America,159146,768199,148889,169274,,BHR,Bahrain,CAN,Canada,648,858,1063,0,0,1
5,West Asia,1,North America,159146,768199,148889,169274,,BHR,Bahrain,USA,United States,505,1267,1284,0,0,1
5,West Asia,1,North America,159146,768199,148889,169274,,CYP,Cyprus,CAN,Canada,0,0,0,0,0,1
5,West Asia,1,North America,159146,768199,148889,169274,,CYP,Cyprus,USA,United States,0,0,0,0,0,1
5,West Asia,1,North America,159146,768199,148889,169274,,IRQ,Iraq,CAN,Canada,8192,5541,1259,48,1,1
5,West Asia,1,North America,159146,768199,148889,169274,,IRQ,Iraq,USA,United States,11512,18483,11477,89,1,1
5,West Asia,1,North America,159146,768199,148889,169274,,ISR,Israel,CAN,Canada,1,418,170,149,1,1
5,West Asia,1,North America,159146,768199,148889,169274,,ISR,Israel,USA,United States,0,3315,220,167,1,1
5,West Asia,1,North America,159146,768199,148889,169274,,JOR,Jordan,CAN,Canada,51,7174,4616,3109,1,1
5,West Asia,1,North America,159146,768199,148889,169274,,JOR,Jordan,USA,United States,79,59055,29891,18567,1,1
5,West Asia,1,North America,159146,768199,148889,169274,,KWT,Kuwait,CAN,Canada,26989,9270,3380,2281,1,1
5,West Asia,1,North America,159146,768199,148889,169274,,KWT,Kuwait,USA,United States,61422,22615,3890,2156,1,1
5,West Asia,1,North America,159146,768199,148889,169274,,LBN,Lebanon,CAN,Canada,0,21162,8259,10310,1,1
5,West Asia,1,North America,159146,768199,148889,169274,,LBN,Lebanon,USA,United States,0,42686,728,1603,1,1
5,West Asia,1,North America,159146,768199,148889,169274,,OMN,Oman,CAN,Canada,899,16470,2617,901,1,1
5,West Asia,1,North America,159146,768199,148889,169274,,OMN,Oman,USA,United States,807,61640,4758,730,1,1
5,West Asia,1,North America,159146,768199,148889,169274,,PSE,Palestine,CAN,Canada,0,17,1316,388,1,1
5,West Asia,1,North America,159146,768199,148889,169274,,PSE,Palestine,USA,United States,0,17431,5747,1126,1,1
5,West Asia,1,North America,159146,768199,148889,169274,,QAT,Qatar,CAN,Canada,1516,1449,668,0,1,1
5,West Asia,1,North America,159146,768199,148889,169274,,QAT,Qatar,USA,United States,1921,2716,793,0,1,1
5,West Asia,1,North America,159146,768199,148889,169274,,SAU,Saudi Arabia,CAN,Canada,12276,72772,5000,9880,1,1
5,West Asia,1,North America,159146,768199,148889,169274,,SAU,Saudi Arabia,USA,United States,18038,298006,22598,36710,1,1
5,West Asia,1,North America,159146,768199,148889,169274,,SYR,Syria,CAN,Canada,904,7447,0,8335,1,1
5,West Asia,1,North America,159146,768199,148889,169274,,SYR,Syria,USA,United States,1510,32251,0,22566,1,1
5,West Asia,1,North America,159146,768199,148889,169274,,TUR,Turkey,CAN,Canada,2123,4523,2952,1780,1,1
5,West Asia,1,North America,159146,768199,148889,169274,,TUR,Turkey,USA,United States,2362,26069,280,0,1,1
